1 1.1384
2 1.7807
3 2.2969
4 2.8089
5 3.2311
6 3.5977
7 3.8634
8 4.0827
9 3.6139
10 3.0216
11 3.1415
12 2.9676
13 2.7504
14 2.8647
15 2.9150
16 2.9461
